Year,Price
2018,465000
2019,755000
2019,700000
2018,465000
2018,465000
2015,350000
2016,425000
2017,575000
2017,509999
2017,575000
2019,500000
2018,500000
2017,500000
2019,600000
2017,475000
2017,500000
2017,500000
2017,550000
2019,500000
2017,500000
2018,500000
2019,500000
2015,434999
2017,550000
2017,550000
2017,550000
2017,550000
2017,550000
2017,550000
2017,550000
2019,650000
2017,550000
2017,550000
2017,550000
2017,450000
2017,550000
2017,550000
2017,486000
2018,475000
2020,545000
2019,525000
2019,600000
2018,550000
2019,550000
2019,550000
2018,450000
2019,500000
2018,450000
2016,396000
2018,600000
2013,325000
2018,550000
2013,345000
2013,345000
2017,525000
2017,550000
2014,341000
2017,550000
2014,450000
2016,550000
2015,490000
2017,540000
2017,540000
2017,595000
2015,490000
2017,495000
2017,525000
2015,400000
2015,465000
2015,300000
2015,450000
2017,490000
2015,300000
2013,320000
2017,490000
2017,490000
2015,450000
2015,325000
2015,409999
2015,400000
2015,390000
2014,390000
2015,390000
2017,480000
2015,325000
2015,320000
2017,520000
2017,520000
2017,520000
2017,520000
2017,520000
2017,520000
2017,520000
2017,520000
2017,520000
2017,520000
2017,520000
2020,640000
2020,700000
2020,600000
2016,350000
2015,400000
2015,350000
2017,375000
2014,400000
2014,400000
2015,300000
2016,375000
2014,300000
2015,425000
2016,420000
2015,425000
